Model,Variable,Alias,Experiment,Realization,Moving Year,File,DoIt?
MIROC5,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC5/RCP8.5/R1,0
MIROC5,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC5/RCP8.5/R1,0
MIROC-ESM-CHEM,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC-ESM-CHEM/HISTORICAL/R1,0
MIROC-ESM-CHEM,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC-ESM-CHEM/HISTORICAL/R1,0
MIROC-ESM-CHEM,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC-ESM-CHEM/RCP4.5/R1,0
MIROC-ESM-CHEM,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC-ESM-CHEM/RCP4.5/R1,0
MIROC-ESM-CHEM,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC-ESM-CHEM/RCP8.5/R1,0
MIROC-ESM-CHEM,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC-ESM-CHEM/RCP8.5/R1,0
MIROC-ESM,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC-ESM/HISTORICAL/R1,0
MIROC-ESM,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC-ESM/HISTORICAL/R1,0
MIROC-ESM,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC-ESM/RCP4.5/R1,0
MIROC-ESM,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC-ESM/RCP4.5/R1,0
MIROC-ESM,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC-ESM/RCP8.5/R1,0
MIROC-ESM,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC-ESM/RCP8.5/R1,0
MPI-ESM-LR,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/MPI-ESM-LR/HISTORICAL/R1,0
MPI-ESM-LR,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/MPI-ESM-LR/HISTORICAL/R1,0
MPI-ESM-LR,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/MPI-ESM-LR/RCP4.5/R1,0
MPI-ESM-LR,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/MPI-ESM-LR/RCP4.5/R1,0
MPI-ESM-LR,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/MPI-ESM-LR/RCP8.5/R1,0
MPI-ESM-LR,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/MPI-ESM-LR/RCP8.5/R1,0
MPI-ESM-MR,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/MPI-ESM-MR/HISTORICAL/R1,0
MPI-ESM-MR,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/MPI-ESM-MR/HISTORICAL/R1,0
MPI-ESM-MR,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/MPI-ESM-MR/RCP4.5/R1,0
MPI-ESM-MR,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/MPI-ESM-MR/RCP4.5/R1,0
MPI-ESM-MR,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/MPI-ESM-MR/RCP8.5/R1,0
MPI-ESM-MR,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/MPI-ESM-MR/RCP8.5/R1,0
